Latitude,Longitude,Name,Description
22.152333,113.581594,"Macau International Airport",Taipa
31.430296,104.740692,"Mianyang Airport",Mianyang
24.263378,116.097851,"Meixian Airport",Meixian
38.35669,109.592737,"Yulin Airport",Yulin
36.266002,120.374933,"Liuting Airport",Qingdao
46.670664,83.345463,"Tacheng Airport",Tacheng
27.884554,109.310617,"Tongren Fenghuang Airport",""
43.55694,122.199825,"Tongliao Airport",Tongliao
34.559994,105.860257,"Tianshui Maijishan Airport",Tianshui
36.857421,117.211492,"Yaoqiang Airport",Jinan
42.253889,125.703889,"Tonghua Sanyuanpu Airport",Tonghua
39.128408,117.354737,"Tianjin Binhai International Airport",Tianjin
39.719403,118.002778,"Tangshan Sannühe Airport",Tangshan
37.746401,112.629968,"Taiyuan Wusu Airport",Taiyuan
32.150763,112.291666,"Xiangfan Airport",Xiangfan
27.989167,102.184444,"Xichang Qingshan Airport",Xichang
43.912132,115.960205,"Xilinhot Airport",Xilinhot
24.150452,115.756924,"Xingning Airport",Xingning
34.439518,108.758366,"Xi'an Xianyang International Airport",Xianyang
24.540553,118.134533,"Xiamen Gaoqi International Airport",Xiamen
36.529386,102.039922,"Xining Caojiabu Airport",Xining
36.882984,114.428826,"Xingtai Dalian Airport",Xingtai
34.059269,117.55631,"Xuzhou Guanyin Airport",Xuzhou
36.646667,119.118333,"Weifang Airport",Weifang
37.186122,122.229146,"Weihai Airport",Weihai
31.390629,118.409701,"Wuhu Air Base Airport",Wuhu
27.908293,120.852664,"Wenzhou Yongqiang Airport",Wenzhou
30.780599,114.21142,"Wuhan Tianhe International Airport",Wuhan
27.701342,117.999447,"Nanping Wuyishan Airport",Wuyishan
31.49862,120.435263,"Sunan Shuofang International Airport",Wuxi
30.801736,108.433089,"Wanxian Airport",Wanxian
31.197971,121.337757,"Shanghai Hongqiao International Airport",Shanghai
41.638667,123.488212,"Taoxian Airport",Shenyang
39.968451,119.730001,"Shanhaiguan Airport",Qinhuangdao
38.280833,114.696667,"Shijiazhuang Zhengding International Airport",Shijiazhuang
23.084044,113.070033,"Foshan Shadi Airport",Foshan
46.804388,89.511152,"Fuyun Airport",Fuyun
18.303701,109.412666,"Sanya Phoenix International Airport",Sanya
22.639019,113.811048,"Shenzhen Bao'an International Airport",Shenzhen
27.327497,103.756697,"Zhaotong Airport",Zhaotong
21.21464,110.358718,"Zhanjiang Airport",Zhanjiang
37.572375,105.155111,"Zhongwei Shapotou Airport",Zhongwei
22.007436,113.373279,"Zhuhai Airport",Zhuhai
27.811052,107.247133,"Zunyi Xinzhou Airport",Zunyi
28.800518,104.5453,"Yibin Caiba Airport",Yibin
35.116556,111.031423,"Yuncheng Guangong Airport",Yuncheng
30.549027,111.482049,"Yichang Airport",Yichang
43.955833,81.330278,"Yining Airport",Yining
29.344711,120.031813,"Yiwu Airport",Yiwu
42.882778,129.451111,"Yanji Chaoyangchuan Airport",Yanji
37.398942,121.368233,"Yantai Laishan Airport",Yantai
33.42635,120.20318,"Yancheng Airport",Yancheng
32.825,97.125,"Yushu Batang Airport",Yushu
38.804285,100.672259,"Zhangye Southeast Air Base Airport",""
39.90748,116.391372,Beijing,NULL
42.83,93.52,Dongjiang:hami,NULL
42.97,89.18,Dongjiang:tulufan,NULL
47.82,88.13,Beijiang:aletaishi,NULL
43.85,87.58,Beijiang:wulumuqi,NULL
44.01,87.29,Beijiang:changji,NULL
41.72,86.18,Nanjiang:kuerle,NULL
44.31,86.05,Beijiang:shihezi,NULL
44.43,84.89,Beijiang:kuitun,NULL
44.33,84.89,Beijiang:dushanzi,NULL
45.58,84.88,Beijiang:kelamayi,NULL
46.73,82.99,Beijiang:tacheng,NULL
41.72,82.99,Nanjiang:kuche,NULL
44.89,82.07,Beijiang:bole,NULL
43.91,81.33,Beijiang:yining,NULL
41.16,80.27,Nanjiang:akesu,NULL
37.11,79.93,Nanjiang:hetian,NULL
37.88,77.43,Nanjiang:yecheng,NULL
38.42,77.25,Nanjiang:shache,NULL
39.69,76.2,Nanjiang:atushen,NULL
39.48,76,Nanjiang:keshen,NULL
35.050282,118.411995,"Linyi Airport","Linyi Shi"
40.738611,114.930278,"Zhangjiakou Airport",Zhangjiakou
24.988056,103.6425,"Luliang Air Base",Qujing
29.351667,89.309862,"Shigatse Peace Airport",Rikaze
34.753598,114.337959,"Kaifeng Air Base",Kaifeng
34.230041,117.245047,"Xuzhou Daguozhang Air Base",Xuzhou
30.334801,120.239881,"Jianqiao/Hangzhou Airfield","Hangzhou Shi"
30.705043,120.680211,"Jiaxing Airport",Jiaxing
39.959006,116.256387,"Beijing Xijiao Airport",NULL
38.899011,117.665827,"天津塘沽机场",Tianjin
30.233528,120.152342,"杭州西湖西子国宾馆","Hangzhou Shi"
22.293226,114.161167,"Victoria Harbour",NULL
22.28858,114.177303,"Victoria Harbour",NULL
22.211643,114.218953,"Stanley Prison",NULL
22.337989,114.143261,"Lai Chi Kok Reception Centre",NULL
22.33982,114.245356,"Pik Uk Prison",NULL
22.224292,113.894824,"Shek Pik prison",NULL
22.43727,114.0804,"Shek Kong Barracks",NULL
25.107363,102.938976,"Kunming Changshui International Airport",Kunming
22.610034,108.176002,"Nanning Wuxu Airport",Nanning
24.938236,98.485646,"Tengchong Tuofeng Airport",Tengchong
29.735,118.255,"Tunxi International Airport",Huangshan
42.9117012,90.2474976,"Shanshan Airport",Shanshan
45.624963,126.248789,"Harbin Taiping International Airport",Harbin
32.564196,119.712789,"扬州泰州机场",Yangzhou
22.796322,100.957848,"Pu'er Simao Airport",Simao
24.798709,118.590342,"Jinjiang Airport","Jinjiang Shi"
37.65906,120.978505,"Yantai Penglai International Airport",Yantai
30.635522,120.536744,"",Hangzhou
23.551944444444,116.503333333333,"潮汕",""
32.881944444444,115.734166666667,"阜阳机场",""
49.566111111111,117.332222222222,"西郊",""
23.739166666667,100.024444444444,"临沧机场",""
41.677777777778,82.872777777778,"龟兹",""
47.750277777778,88.084444444444,"阿勒泰",""
40.926944444444,107.739444444444,"天吉泰",""
32.836388888889,97.036388888889,"巴塘",""
45.293055555556,131.193055555556,"兴凯湖",""
26.54,101.798611111111,"保安营",""
44.895,82.300555555556,"阿拉山口",""
43.423888888889,112.091944444444,"赛乌素",""
30.143055555556,101.738611111111,"康定",""
23.558333333333,104.325555555556,"普者黑",""
47.310555555556,119.911944444444,"伊尔施",""
47.751944444444,129.019166666667,"林都",""
43.431666666667,83.3775,"那拉提",""
48.2225,86.995833333333,"喀纳斯",""
25.451111111111,107.9625,"荔波",""
23.456666666667,111.247777777778,"长州岛",""
43.030555555556,89.0975,"交河",""
39.266388888889,122.666944444445,"大长山岛",""
26.878724,112.589027,"","Hengyang Shi"
