id,updated_at,shape,begin_at,end_at,disable,city,lng,points,area_id,radius,country,name,warning,type,lat,level
1863,1447945800,0,0,0,0,Gooding,-114.765645,"",2397,1016,840,"Gooding Municipal Airport",0,0,42.915941,2
1864,1447945800,0,0,0,0,Lyudao,121.466157,"",2398,560,158,"Lyudao Airport",0,0,22.673352,2
1865,1447945800,0,0,0,0,Guanambi,-42.748768,"",2399,1285,76,"Guanambi Airport",0,0,-14.208351,2
1866,1447945800,0,0,0,0,Ghinnir,40.709593,"",2400,602,231,"Ghinnir Airport",0,0,7.132361,2
1867,1447945800,0,0,0,0,"General Roca",-67.620279,"",2401,1391,32,"Dr. Arturo H. Illia Airport",0,0,-39.000479,2
1868,1447945800,0,0,0,0,"Gunung Sitoli-Nias Island",97.704889,"",2402,811,360,"Binaka Airport",0,0,1.165029,2
1869,1447945800,0,0,0,0,Grants,-107.903734,"",2403,1138,840,"Grants-Milan Municipal Airport",0,0,35.169664,2
1870,1447945800,0,0,0,0,Goodnews,-161.575407,"",2404,796,840,"Goodnews Airport",0,0,59.117826,2
1871,1447945800,0,0,0,0,Gainesville,-82.26858,"",2405,2063,840,"Gainesville Regional Airport",0,0,29.691863,2
1872,1447945800,0,0,0,0,"Şanlıurfa",38.900846,"",2406,2945,792,"Şanlıurfa GAP Airport",0,0,37.449522,2
1873,1447945800,0,0,0,0,"Bahrami Shahid",68.414103,"",2407,400,4,"Ghanzi Airport",0,0,33.531184,2
1874,1447945800,0,0,0,0,Genova,8.842921,"",2408,1779,380,"Genova / Sestri Cristoforo Colombo Airport",0,0,44.413165,2
1875,1447945800,0,0,0,0,Gora,148.236466,"",2410,302,598,"Gora Airstrip Airport",0,0,-9.002041,2
1876,1447945800,0,0,0,0,Gobabis,18.976123,"",2413,1459,516,"Gobabis Airport",0,0,-22.50482,2
1877,1447945800,0,0,0,0,Nuuk,-51.676501,"",2414,580,304,"Godthaab / Nuuk Airport",0,0,64.192906,2
1878,1447945800,0,0,0,0,"Vasco da Gama",73.832888,"",2415,1887,356,"Dabolim Airport",0,0,15.380142,2
1879,1447945800,0,0,0,0,Guthrie,-97.416948,"",2417,998,840,"Guthrie-Edmond Regional Airport",0,0,35.85062,2
1880,1447945800,0,0,0,0,"Gold Beach",-124.424164,"",2418,579,840,"Gold Beach Municipal Airport",0,0,42.413334,2
1881,1447945800,0,0,0,0,"Groton (New London)",-72.045005,"",2420,1061,840,"Groton New London Airport",0,0,41.331589,2
1882,1447945800,0,0,0,0,Goondiwindi,150.320556,"",2421,1023,36,"Goondiwindi Airport",0,0,-28.523389,2
1883,1447945800,0,0,0,0,Gorakhpur,83.452139,"",2422,2113,356,"Gorakhpur Airport",0,0,26.740326,2
1884,1447945800,0,0,0,0,Golmud,94.786321,"",2423,6000,156,"Golmud Airport",0,0,36.402839,2
1885,1447945800,0,0,0,0,Gore,-81.64702,"",2424,350,840,"Gore Airport",0,0,28.14335,2
